gamma,delta,margin,endpoint_test_acc,endpoint_epoch,untrained_acc,status,runtime_s,test_loss,test_acc_recheck
1.0,0.5,0.02,0.7611111111111111,15,0.1361111111111111,ok,141.9,0.03696880472222223,0.7611111111111111
3.0,0.005,0.02,0.9638888888888889,15,0.1361111111111111,ok,131.4,0.002537928611111111,0.9638888888888889
3.0,0.01,0.02,0.975,15,0.1361111111111111,ok,122.4,0.002243305555555557,0.975
3.0,0.02,0.02,0.9777777777777777,15,0.1361111111111111,ok,113.5,0.002125275277777778,0.9777777777777777
3.0,0.05,0.02,0.95,15,0.1361111111111111,ok,140.3,0.0029190455555555554,0.95
3.0,0.1,0.02,0.9555555555555556,15,0.1361111111111111,ok,142.5,0.002914061111111111,0.9555555555555556
3.0,0.2,0.02,0.9388888888888889,15,0.1361111111111111,ok,137.4,0.0063272702777777785,0.9388888888888889
3.0,0.5,0.02,0.75,15,0.1361111111111111,ok,153.0,0.044857534444444444,0.75
10.0,0.005,0.02,0.9777777777777777,15,0.1361111111111111,ok,156.7,0.0021128325000000017,0.9777777777777777
10.0,0.01,0.02,0.975,15,0.1361111111111111,ok,146.7,0.0020818075000000017,0.975
10.0,0.02,0.02,0.9583333333333334,15,0.1361111111111111,ok,145.0,0.002655101944444444,0.9583333333333334
10.0,0.05,0.02,0.9444444444444444,15,0.1361111111111111,ok,117.7,0.003912144444444444,0.9444444444444444
10.0,0.1,0.02,0.9027777777777778,15,0.1361111111111111,ok,133.3,0.006973270555555557,0.9027777777777778
10.0,0.2,0.02,0.8138888888888889,15,0.1361111111111111,ok,139.1,0.01490630361111111,0.8138888888888889
10.0,0.5,0.02,0.33611111111111114,15,0.1361111111111111,ok,193.7,0.14107902305555556,0.33611111111111114
30.0,0.005,0.02,0.9638888888888889,15,0.1361111111111111,ok,177.4,0.002393241111111111,0.9638888888888889
30.0,0.01,0.02,0.9611111111111111,15,0.1361111111111111,ok,177.2,0.0021372108333333334,0.9611111111111111
30.0,0.02,0.02,0.9361111111111111,15,0.1361111111111111,ok,175.5,0.003959301666666667,0.9361111111111111
30.0,0.05,0.02,0.8777777777777778,15,0.1361111111111111,ok,181.2,0.009274919444444446,0.8777777777777778
30.0,0.1,0.02,0.6166666666666667,15,0.1361111111111111,ok,195.9,0.044074190000000006,0.6166666666666667
30.0,0.2,0.02,0.24444444444444444,15,0.1361111111111111,ok,201.8,0.11013514333333331,0.24444444444444444
30.0,0.5,0.02,0.10555555555555556,15,0.1361111111111111,ok,186.9,0.3100769469444445,0.10555555555555556
